,ID
0,hsa-let-7a-5p
1,hsa-let-7b-5p
2,hsa-let-7c-5p
3,hsa-let-7d-5p
4,hsa-let-7e-5p
5,hsa-let-7f-5p
6,hsa-miR-15a-5p
7,hsa-miR-16-5p
8,hsa-miR-17-5p
9,hsa-miR-17-3p
10,hsa-miR-18a-5p
11,hsa-miR-19a-3p
12,hsa-miR-19b-3p
13,hsa-miR-20a-5p
14,hsa-miR-21-5p
15,hsa-miR-22-3p
16,hsa-miR-23a-3p
17,hsa-miR-24-1-5p
18,hsa-miR-24-3p
19,hsa-miR-25-3p
20,hsa-miR-26a-5p
21,hsa-miR-26b-5p
22,hsa-miR-27a-3p
23,hsa-miR-28-5p
24,hsa-miR-29a-3p
25,hsa-miR-30a-5p
26,hsa-miR-30a-3p
27,hsa-miR-31-5p
28,hsa-miR-32-5p
29,hsa-miR-33a-5p
30,hsa-miR-92a-3p
31,hsa-miR-93-5p
32,hsa-miR-95-3p
33,hsa-miR-96-5p
34,hsa-miR-98-5p
35,hsa-miR-99a-5p
36,hsa-miR-100-5p
37,hsa-miR-101-3p
38,hsa-miR-29b-3p
39,hsa-miR-103a-3p
40,hsa-miR-105-5p
41,hsa-miR-106a-5p
42,hsa-miR-107
43,hsa-miR-192-5p
44,hsa-miR-196a-5p
45,hsa-miR-197-3p
46,hsa-miR-198
47,hsa-miR-199a-5p
48,hsa-miR-199a-3p
49,hsa-miR-208a-3p
50,hsa-miR-129-5p
51,hsa-miR-148a-3p
52,hsa-miR-30c-5p
53,hsa-miR-30d-5p
54,hsa-miR-139-5p
55,hsa-miR-147a
56,hsa-miR-7-5p
57,hsa-miR-10a-5p
58,hsa-miR-10b-5p
59,hsa-miR-34a-5p
60,hsa-miR-181a-5p
61,hsa-miR-181b-5p
62,hsa-miR-181c-5p
63,hsa-miR-182-5p
64,hsa-miR-182-3p
65,hsa-miR-183-5p
66,hsa-miR-187-3p
67,hsa-miR-199b-5p
68,hsa-miR-203a-3p
69,hsa-miR-204-5p
70,hsa-miR-205-5p
71,hsa-miR-210-3p
72,hsa-miR-211-5p
73,hsa-miR-212-3p
74,hsa-miR-181a-3p
75,hsa-miR-214-3p
76,hsa-miR-215-5p
77,hsa-miR-216a-5p
78,hsa-miR-217
79,hsa-miR-218-5p
80,hsa-miR-219a-5p
81,hsa-miR-221-3p
82,hsa-miR-222-3p
83,hsa-miR-223-3p
84,hsa-miR-224-5p
85,hsa-miR-200b-3p
86,hsa-let-7g-5p
87,hsa-let-7i-5p
88,hsa-miR-1-3p
89,hsa-miR-15b-5p
90,hsa-miR-23b-3p
91,hsa-miR-27b-3p
92,hsa-miR-30b-5p
93,hsa-miR-122-5p
94,hsa-miR-124-3p
95,hsa-miR-125b-5p
96,hsa-miR-128-3p
97,hsa-miR-130a-3p
98,hsa-miR-132-3p
99,hsa-miR-133a-3p
100,hsa-miR-135a-5p
101,hsa-miR-137
102,hsa-miR-138-5p
103,hsa-miR-140-5p
104,hsa-miR-141-3p
105,hsa-miR-142-5p
106,hsa-miR-142-3p
107,hsa-miR-143-3p
108,hsa-miR-144-3p
109,hsa-miR-145-5p
110,hsa-miR-152-3p
111,hsa-miR-153-3p
112,hsa-miR-191-5p
113,hsa-miR-9-5p
114,hsa-miR-9-3p
115,hsa-miR-125a-5p
116,hsa-miR-126-5p
117,hsa-miR-126-3p
118,hsa-miR-127-3p
119,hsa-miR-134-5p
120,hsa-miR-136-5p
121,hsa-miR-146a-5p
122,hsa-miR-149-5p
123,hsa-miR-150-5p
124,hsa-miR-154-5p
125,hsa-miR-154-3p
126,hsa-miR-184
127,hsa-miR-185-5p
128,hsa-miR-186-5p
129,hsa-miR-188-5p
130,hsa-miR-190a-5p
131,hsa-miR-193a-3p
132,hsa-miR-194-5p
133,hsa-miR-195-5p
134,hsa-miR-206
135,hsa-miR-320a
136,hsa-miR-200c-3p
137,hsa-miR-155-5p
138,hsa-miR-106b-5p
139,hsa-miR-29c-3p
140,hsa-miR-200a-3p
141,hsa-miR-302a-5p
142,hsa-miR-302a-3p
143,hsa-miR-34b-5p
144,hsa-miR-34c-5p
145,hsa-miR-299-3p
146,hsa-miR-301a-3p
147,hsa-miR-99b-5p
148,hsa-miR-296-5p
149,hsa-miR-130b-3p
150,hsa-miR-30e-5p
151,hsa-miR-30e-3p
152,hsa-miR-361-5p
153,hsa-miR-362-5p
154,hsa-miR-363-3p
155,hsa-miR-365a-3p
156,hsa-miR-302b-5p
157,hsa-miR-302b-3p
158,hsa-miR-302c-5p
159,hsa-miR-302c-3p
160,hsa-miR-302d-3p
161,hsa-miR-367-3p
162,hsa-miR-376c-3p
163,hsa-miR-369-3p
164,hsa-miR-370-3p
165,hsa-miR-371a-3p
166,hsa-miR-372-3p
167,hsa-miR-373-5p
168,hsa-miR-373-3p
169,hsa-miR-374a-5p
170,hsa-miR-375
171,hsa-miR-376a-3p
172,hsa-miR-377-3p
173,hsa-miR-378a-5p
174,hsa-miR-378a-3p
175,hsa-miR-379-5p
176,hsa-miR-380-5p
177,hsa-miR-380-3p
178,hsa-miR-381-3p
179,hsa-miR-382-5p
180,hsa-miR-383-5p
181,hsa-miR-340-3p
182,hsa-miR-330-3p
183,hsa-miR-328-3p
184,hsa-miR-342-3p
185,hsa-miR-337-3p
186,hsa-miR-323a-3p
187,hsa-miR-326
188,hsa-miR-151a-3p
189,hsa-miR-135b-5p
190,hsa-miR-148b-3p
191,hsa-miR-331-3p
192,hsa-miR-324-5p
193,hsa-miR-324-3p
194,hsa-miR-338-3p
195,hsa-miR-339-5p
196,hsa-miR-335-5p
197,hsa-miR-133b
198,hsa-miR-325
199,hsa-miR-345-5p
200,hsa-miR-346
201,hsa-miR-384
202,hsa-miR-196b-5p
203,hsa-miR-422a
204,hsa-miR-423-3p
205,hsa-miR-424-5p
206,hsa-miR-425-3p
207,hsa-miR-18b-5p
208,hsa-miR-20b-5p
209,hsa-miR-448
210,hsa-miR-429
211,hsa-miR-449a
212,hsa-miR-450a-5p
213,hsa-miR-191-3p
214,hsa-miR-200a-5p
215,hsa-miR-369-5p
216,hsa-miR-431-5p
217,hsa-miR-433-3p
218,hsa-miR-329-3p
219,hsa-miR-323b-5p
220,hsa-miR-452-5p
221,hsa-miR-452-3p
222,hsa-miR-409-5p
223,hsa-miR-409-3p
224,hsa-miR-412-3p
225,hsa-miR-410-3p
226,hsa-miR-376b-3p
227,hsa-miR-483-3p
228,hsa-miR-484
229,hsa-miR-485-5p
230,hsa-miR-485-3p
231,hsa-miR-486-5p
232,hsa-miR-487a-3p
233,hsa-miR-488-5p
234,hsa-miR-489-3p
235,hsa-miR-490-3p
236,hsa-miR-491-5p
237,hsa-miR-511-5p
238,hsa-miR-146b-5p
239,hsa-miR-202-5p
240,hsa-miR-202-3p
241,hsa-miR-492
242,hsa-miR-493-5p
243,hsa-miR-432-5p
244,hsa-miR-432-3p
245,hsa-miR-494-3p
246,hsa-miR-495-3p
247,hsa-miR-496
248,hsa-miR-193b-3p
249,hsa-miR-497-5p
250,hsa-miR-181d-5p
251,hsa-miR-512-5p
252,hsa-miR-512-3p
253,hsa-miR-498
254,hsa-miR-520e
255,hsa-miR-515-5p
256,hsa-miR-515-3p
257,hsa-miR-519e-5p
258,hsa-miR-519e-3p
259,hsa-miR-520f-3p
260,hsa-miR-519c-5p
261,hsa-miR-519c-3p
262,hsa-miR-520a-5p
263,hsa-miR-520a-3p
264,hsa-miR-526b-5p
265,hsa-miR-526b-3p
266,hsa-miR-519b-3p
267,hsa-miR-525-5p
268,hsa-miR-525-3p
269,hsa-miR-523-3p
270,hsa-miR-518f-5p
271,hsa-miR-518f-3p
272,hsa-miR-520b
273,hsa-miR-518b
274,hsa-miR-526a
275,hsa-miR-520c-3p
276,hsa-miR-518c-5p
277,hsa-miR-518c-3p
278,hsa-miR-524-5p
279,hsa-miR-524-3p
280,hsa-miR-517-5p
281,hsa-miR-517a-3p
282,hsa-miR-519d-3p
283,hsa-miR-521
284,hsa-miR-520d-5p
285,hsa-miR-520d-3p
286,hsa-miR-517b-3p
287,hsa-miR-520g-3p
288,hsa-miR-516b-5p
289,hsa-miR-516b-3p
290,hsa-miR-518e-3p
291,hsa-miR-527
292,hsa-miR-518a-3p
293,hsa-miR-518d-3p
294,hsa-miR-517c-3p
295,hsa-miR-520h
296,hsa-miR-522-3p
297,hsa-miR-519a-3p
298,hsa-miR-499a-5p
299,hsa-miR-500a-3p
300,hsa-miR-501-5p
301,hsa-miR-502-5p
302,hsa-miR-503-5p
303,hsa-miR-504-5p
304,hsa-miR-505-3p
305,hsa-miR-513a-5p
306,hsa-miR-506-3p
307,hsa-miR-507
308,hsa-miR-508-3p
309,hsa-miR-509-3p
310,hsa-miR-510-5p
311,hsa-miR-514a-3p
312,hsa-miR-532-5p
313,hsa-miR-299-5p
314,hsa-miR-18a-3p
315,hsa-miR-455-5p
316,hsa-miR-493-3p
317,hsa-miR-539-5p
318,hsa-miR-544a
319,hsa-miR-545-3p
320,hsa-miR-487b-3p
321,hsa-miR-551a
322,hsa-miR-552-3p
323,hsa-miR-553
324,hsa-miR-554
325,hsa-miR-92b-3p
326,hsa-miR-555
327,hsa-miR-556-5p
328,hsa-miR-557
329,hsa-miR-558
330,hsa-miR-559
331,hsa-miR-561-3p
332,hsa-miR-562
333,hsa-miR-563
334,hsa-miR-564
335,hsa-miR-566
336,hsa-miR-567
337,hsa-miR-568
338,hsa-miR-551b-3p
339,hsa-miR-569
340,hsa-miR-570-3p
341,hsa-miR-571
342,hsa-miR-572
343,hsa-miR-573
344,hsa-miR-574-3p
345,hsa-miR-575
346,hsa-miR-576-5p
347,hsa-miR-577
348,hsa-miR-578
349,hsa-miR-579-3p
350,hsa-miR-580-3p
351,hsa-miR-581
